Site,No,Type,MXL,MXW,MXT,TCSA,UseWare,3D,EFA,Area(áuÅj,Verts,file name:EFA
TK,528,BL,71.8,26.5,7.1,94.075,,,,,,
TK,530,BL,98.8,29.2,9.8,143.08,,,ÅZ,,,b_85TKbL_530
TK,549,BL,102.8,39.6,11.1,219.78,,,ÅZ,,,b_86TKbL_549
TK,550,BL,111,31.4,12.7,199.39,,,ÅZ,,,b_87TKbL_550
TK,560,BL,126.1,53,14.1,373.65,,,ÅZ,,,b_89TKbL_612
TK,599,BL,99.5,29.4,7.9,116.13,,,ÅZ,,,b_88TKbL_599
TK,612,BL,136.7,42.3,11.1,234.765,,,,,,
TK,702,BL,86.4,30.2,9.1,137.41,,,ÅZ,,,b_90TKbL_702
TK,749,BL,138.1,42.6,18.8,400.44,,,ÅZ,,,b_91TKbL_749
TK,763,BL,141.1,48.1,15.4,370.37,,,ÅZ,,,b_92TKbL_763
TK,765,BL,124.2,27.2,8.4,114.24,,,ÅZ,,,b_93TKbL_765
TK,806,BL,102.6,21.6,10.9,117.72,,,,,,
TK,827,BL,150.4,41.8,13.9,290.51,,,ÅZ,,,b_94TKbL_827
TK,1000,BL,83.5,33.9,14.2,240.69,,,ÅZ,,,b_95TKbL_1000
TK,1183,BL,79.7,26.6,6.9,91.77,,,ÅZ,,,b_96TKbL_1183
TK,1206,BL,84.4,24.2,10.2,123.42,,,,,,
TK,1243,BL,62.2,29.2,5.9,86.14,,,,,,
TK,1280,BL,101.3,24.3,10.8,131.22,,,,,,
TK,1294,BL,125,51.6,19.1,492.78,,,,,,
TK,1308,BL,107.8,28.47,10.3,146.6205,,,,,,
TK,1588,BL,65.8,17.8,8.8,78.32,,,,,,
TK,1605,BL,121.9,43.8,15.4,337.26,,,ÅZ,,,b_97TKbL_1605
TK,1615,BL,93.8,30.2,9.3,140.43,,,ÅZ,,,b_98TKbL_1615
TK,1617,BL,71.4,25.1,9.4,117.97,,,,,,
TK,1697,BL,94.4,24.4,5.1,62.22,,,ÅZ,,,b_99TKbL_1697
TK,1726,BL,99.2,27.8,9.2,127.88,,,,,,
TK,1769,BL,112.1,28.4,6.8,96.56,,,,,,
TK,1777,BL,92.9,26.8,8.7,116.58,,,ÅZ,,,b_100TKbL_1777
TK,1847,BL,69.8,21.5,5.5,59.125,,,,,,
TK,1867,BL,90.8,25.1,10.8,135.54,,,,,,
TK,1894,BL,75.6,23.6,8.9,105.02,,,ÅZ,,,b_101TKbL_1894
TK,1905,BL,100.4,30.2,13.3,200.83,,,ÅZ,,,b_102TKbL_1905
TK,18,ES,94.7,30.8,8.4,129.36,A,,ÅZ,,,a_A01TKES-A18
TK,19,ES,103.9,35.4,8.1,143.37,A,,ÅZ,,,a_A02TKES-A19
TK,200,ES,93.4,25.6,7.5,96,A,,ÅZ,,,a_A05TKES-A200
TK,205,ES,113.3,24.5,7.9,96.775,A,,ÅZ,,,a_A06TKES-A205
TK,214,ES,71.2,39.2,14.9,292.04,,,ÅZ,,,a_07TKES-214
TK,230,ES,74.8,33.5,10.1,169.175,,,ÅZ,,,a_08TKES-230
TK,322,ES,89,28,12,168,A,,ÅZ,,,a_A09TKES-A322
TK,344,ES,106.8,33.7,11.1,187.035,,,ÅZ,,,a_10TKES-344
TK,346,ES,94.1,38.5,12.4,238.7,A,,ÅZ,,,a_A11TKES-346
TK,351,ES,125.5,41.4,14.4,298.08,A,,ÅZ,,,a_A12TKES-A351
TK,389,ES,105.9,32.8,8.7,142.68,,,ÅZ,,,a_13TKES-389
TK,424,ES,78,39.9,8.9,177.555,A,,ÅZ,,,a_A14TKES-424
TK,444,ES,107.9,27.2,8.1,110.16,,,ÅZ,,,a_15TKES-444
TK,505,ES,86.6,41.8,11,229.9,A,,ÅZ,,,a_A17TKES-505
TK,513,ES,84.5,35.9,10.5,188.475,,,ÅZ,,,a_18TKES-513
TK,525,ES,98.6,33.9,11.1,188.145,,,ÅZ,,,a_19TKES-525
TK,532,ES,82.6,30.5,7.1,108.275,A,,ÅZ,,,a_A20TKES-532
TK,541,ES,60.8,36.7,13.4,245.89,A,,ÅZ,,,a_A21TKES-541
TK,557,ES,106.5,31.8,9.7,154.23,A,,ÅZ,,,a_A22TKES-557
TK,559,ES,95.9,30.6,12.6,192.78,,,ÅZ,,,a_23TKES-559
TK,591,ES,52.2,38.7,7.4,143.19,,,ÅZ,,,a_24TKES-591
TK,618,ES,79.4,25.5,6.9,87.975,A,,ÅZ,,,a_A25TKES-618
TK,619,ES,78.3,47,19.2,451.2,A,,ÅZ,,,a_A26TKES-619
TK,667,ES,80.9,28.9,18.4,265.88,,,ÅZ,,,a_27TKES-667
TK,675,ES,90.8,42.1,13.2,277.86,A,,ÅZ,,,a_A28TKES-675
TK,699,ES,81.8,31.5,16.9,266.175,A,,ÅZ,,,a_A29TKES-699
TK,717,ES,55.4,23.4,13.2,154.44,A,,ÅZ,,,a_A30TKES-717
TK,767,ES,75.9,48.9,20.5,501.225,A,,ÅZ,,,a_A32TKES-767
TK,770,ES,74,41,10.5,215.25,A,,ÅZ,,,a_A33TKES-770
TK,785,ES,76.5,30.5,9.9,150.975,,,ÅZ,,,a_34TKES-785
TK,815,ES,103.6,54.1,10.7,289.435,A,,ÅZ,,,a_A35TKES-815
TK,854,ES,86.7,27.8,10.2,141.78,,,ÅZ,,,a_36TKES-854
TK,887,ES,96.1,29,17.9,259.55,,,ÅZ,,,a_37TKES-887
TK,1252,ES,65.9,35.1,10.9,191.295,,,ÅZ,,,a_38TKES-1252
TK,1290,ES,111.9,37.3,16.6,309.59,,,ÅZ,,,a_42TKES-1290
TK,1302,ES,87.6,29.8,8.2,122.18,A,,ÅZ,,,a_A40TKES-1302
TK,1305,ES,107.2,28.8,11.2,161.28,A,,ÅZ,,,a_A41TKES-1305
TK,1345,ES,97.6,31.1,12.5,194.375,,,ÅZ,,,a_39TKES-1345
TK,1434,ES,90.8,23.8,8.1,96.39,,,ÅZ,,,a_43TKES-1434
TK,1447,ES,130.4,40.1,13.2,264.66,A,,ÅZ,,,a_A44TKES-1447
TK,1457,ES,67.9,37.6,9.8,184.24,,,ÅZ,,,a_45TKES-1457
TK,1501,ES,76.7,38.3,18.2,348.53,,,ÅZ,,,a_46TKES-1501
TK,1591,ES,114.1,34.1,11.7,199.485,A,,ÅZ,,,a_A47TKES-1591
TK,1594,ES,110.4,30.5,10.7,163.175,A,,ÅZ,,,a_A48TKES-1594
TK,1626,ES,62.3,39.1,10,195.5,A,,ÅZ,,,a_A49TKES-1626
TK,1629,ES,118.9,33,10.2,168.3,A,,ÅZ,,,a_A50TKES-1629
TK,1691,ES,83.4,27.1,12.1,163.955,A,,ÅZ,,,a_A51TKES-1691
TK,1767,ES,88.5,35,6.6,115.5,,,ÅZ,,,a_52TKES-1767
TK,1906,ES,85,34.1,8.3,141.515,,,ÅZ,,,a_53TKES-1906
TK,1970,ES,101,26.2,10.2,133.62,A,,ÅZ,,,a_A54TKES-1970
TK,2004,ES,72.2,35.7,10.3,183.855,,,ÅZ,,,a_55TKES-2004
OM,2006,KN,65,35,9,157.5,,,,,,
OM,3297,KN,74,28,7,98,,,,,,
OM,2918,KN,147,42,17,357,,,,,,
OM,2772,KN,143,59,24,708,,,,,,
OM,1,KN,80,20,7,70,,,,,,
OM,2,KN,124,29,13,188.5,,,,,,
OM,3,KN,65,23,7,80.5,,,,,,
OM,4,KN,32,17,7,59.5,,,,,,
OM,5,KN,91,29,11,159.5,,,,,,
OM,116,BL,69,21,9,94.5,,,,,,
OM,134,BL,85,27,15,202.5,,,,,,
OM,65,BL,92,39,8,156,,,,,,
OM,125,BL,76,32,11,176,,,,,,
OM,22,BL,73,34,12,204,,,,,,
OM,103,BL,70,30,8,120,,,,,,
OM,50,BL,135,40,17,340,,,,,,
OM,594,BL,82,33,11,181.5,,,,,,
OM,373,BL,100,43,12,258,,,,,,
OM,69,BL,73,40,8,160,,,,,,
OM,64,BL,103,54,14,378,,,,,,
OM,394,BL,88,43,10,215,,,,,,
OM,399,BL,70,40,11,220,,,,,,
OM,61,BL,99,51,10,255,,,,,,
OM,59,BL,80,29,12,174,,,,,,
OM,60,BL,84,31,10,155,,,,,,
OM,380,BL,69,20,8,80,,,,,,
OM,589,BL,83,38,16,304,,,,,,
OM,43,BL,106,62,17,527,,,,,,
OM,56,BL,132,56,32,896,,,,,,
OM,57,BL,168,51,26,663,,,,,,
OM,571,BL,89,32,8,128,,,,,,
OM,88G,BL,180,47,23,540.5,,,,,,
OM,71,BL,161,65,18,585,,,,,,
OM,77G,BL,160,43,14,301,,,,,,
OM,82,BL,124,52,24,624,,,,,,
OM,86,BL,175,50,17,425,,,,,,
OM,570,BL,130,50,18,450,,,,,,
OM,564,BL,86,46,15,345,,,,,,
OM,76,BL,156,66,18,594,,,,,,
OM,75,BL,79,37,8,148,,,,,,
OM,169,BL,115,35,15,262.5,,,,,,
OM,79,BL,114,52,17,442,,,,,,
OM,407,BL,98,44,15,330,,,,,,
OM,582,BL,63,30,7,105,,,,,,
OM,27g,BL,113,43,12,258,,,,,,
OM,410,BL,95,42,16,336,,,,,,
OM,265,BL,55,18,6,54,,,,,,
OM,324,BL,61,25,9,112.5,,,,,,
OM,12Çá,BL,129,51,17,433.5,,,,,,
OM,49,BL,132,63,15,472.5,,,,,,
OM,12,BL,121,48,15,360,,,,,,
OM,48,BL,129,52,22,572,,,,,,
OM,156,BL,94,45,22,495,,,,,,
OM,1097,BL,141,53,39,1033.5,,,,,,
OM,1092,BL,108,49,25,612.5,,,,,,
OM,1234,BL,86,33,8,132,,,,,,
OM,3003,BL,71,31,16,248,,,,,,
OM,1477,BL,81,26,15,195,,,,,,
OM,TP5,BL,68,24,10,120,,,,,,
OM,2840,BL,126,57,16,456,,,,,,
OM,3320,BL,95,33,8,132,,,,,,
OM,6997,BL,148,41,17,348.5,,,,,,
OM,7811,BL,94,36,9,162,,,,,,
OM,3035,BL,130,49,19,465.5,,,,,,
OM,4816,BL,92,16,11,88,,,,,,
OM,3194,BL,99,27,18,243,,,,,,
OM,TP5-15 ,BL,79,35,12,210,,,,,,
OM,3257,BL,67,30,8,120,,,,,,
OM,4621,BL,94,30,30,450,,,,,,
OM,3249,BL,116,46,15,345,,,,,,
OM,TP5-27,BL,135,46,13,299,,,,,,
OM,5271,BL,111,38,16,304,,,,,,
OM,TP5-89,BL,84,31,6,93,,,,,,
OM,4585,BL,83,11,31,170.5,,,,,,
OM,6213,BL,125,43,14,301,,,,,,
OM,TP5-40,BL,135,48,12,288,,,,,,
OM,3144,BL,50,21,9,94.5,,,,,,
OM,4746,BL,60,21,7,73.5,,,,,,
OM,4637,BL,157,57,19,541.5,,,,,,
OM,2906,BL,95,41,15,307.5,,,,,,
OM,TP5-138,BL,84,25,7,87.5,,,,,,
OM,TP5-60,BL,121,34,11,187,,,,,,
OM,2891,BL,127,61,20,610,,,,,,
OM,TP5-123,BL,73,22,8,88,,,,,,
OM,3636,BL,93,33,9,148.5,,,,,,
OM,TP5-52,BL,156,75,20,750,,,,,,
OM,4465,BL,110,40,17,340,,,,,,
OM,3060,BL,112,42,14,294,,,,,,
OM,3671,BL,113,44,11,242,,,,,,
OM,5477,BL,95,37,8,148,,,,,,
OM,6031,BL,30,31,9,139.5,,,,,,
OM,2,BL,158,47,14,329,,,ÅZ,,,J16-2
OM,4,BL,95,28,10,140,,,ÅZ,,,G16-4
OM,4,BL,96,36,4,72,,,ÅZ,,,J15-4
OM,6,BL,78,31,8,124,,,ÅZ,,,K12-6
OM,6,BL,97,30,10,150,,,ÅZ,,,K16-6
OM,7,BL,84,27,10,135,,,ÅZ,,,I17-7
OM,11,BL,113,30,15,225,,,ÅZ,,,I15-11
OM,13,BL,84,40,7,140,,,ÅZ,,,K12-13
OM,21,BL,89,24,6,72,,,ÅZ,,,I15-21
OM,22,BL,78,27,7,94.5,,,ÅZ,,,I15-22
OM,22,BL,108,38,15,285,,,ÅZ,,,G16-22
OM,33,BL,107,42,13,273,,,ÅZ,,,I20-33
OM,34,BL,106,21,9,94.5,,,ÅZ,,,K12-34
OM,38,BL,122,34,17,289,,,ÅZ,,,K16-38
OM,38,BL,114,38,12,228,,,ÅZ,,,G16-38
OM,42,BL,68,26,10,130,,,ÅZ,,,I17-42
OM,43,BL,84,22,8,88,,,ÅZ,,,K17-43
OM,49,BL,117,39,19,370.5,,,ÅZ,,,I18-49
OM,50,BL,105,25,13,162.5,,,ÅZ,,,I16-50
OM,53,BL,156,31,15,232.5,,,ÅZ,,,I17-53
OM,55,BL,102,32,10,160,,,ÅZ,,,K14-55
OM,57,BL,76,19,5,47.5,,,ÅZ,,,I16-57
OM,59,BL,120,34,12,204,,,ÅZ,,,K14-59
OM,70,BL,75,19,6,57,,,ÅZ,,,K14-70
OM,74,BL,76,25,7,87.5,,,ÅZ,,,K17-74
OM,88,BL,113,24,13,156,,,ÅZ,,,I17-88
OM,90,BL,130,39,11,214.5,,,ÅZ,,,I18-90
OM,90,BL,88,32,7,112,,,ÅZ,,,I17-90
OM,98,BL,85,21,12,126,,,ÅZ,,,I17-98
OM,110,BL,70,15,7,52.5,,,ÅZ,,,I17-110
OM,115,BL,150,44,14,308,,,ÅZ,,,I16-115
OM,118,BL,91,40,8,160,,,ÅZ,,,I18-118
OM,124,BL,110,31,9,139.5,,,ÅZ,,,L16-124
OM,125,BL,80,22,4,44,,,ÅZ,,,L16-125
OM,127,BL,82,22,13,143,,,ÅZ,,,L16-127
OM,130,BL,78,17,7,59.5,,,ÅZ,,,I17-130
OM,134,BL,90,24,13,156,,,ÅZ,,,I18-134
OM,137,BL,94,38,7,133,,,ÅZ,,,K17-137
OM,138,BL,93,40,10,200,,,ÅZ,,,I18-138
OM,144,BL,171,57,31,883.5,,,ÅZ,,,K17-144
OM,144,BL,91,28,6,84,,,ÅZ,,,L17-144
OM,149,BL,120,36,11,198,,,ÅZ,,,J18-149
OM,152,BL,133,40,19,380,,,ÅZ,,,I18-152
OM,153,BL,143,41,16,328,,,ÅZ,,,I18-153
OM,154,BL,74,25,6,75,,,ÅZ,,,K20-154
OM,168,BL,152,35,15,262.5,,,ÅZ,,,I18-168
OM,170,BL,87,25,9,112.5,,,ÅZ,,,L16-170
OM,179,BL,75,27,8,108,,,ÅZ,,,K17-179
OM,187,BL,121,34,10,170,,,ÅZ,,,K20-187
OM,196,BL,65,17,4,34,,,ÅZ,,,L16-196
OM,197,BL,68,21,8,84,,,ÅZ,,,K17-197
OM,201,BL,96,25,6,75,,,ÅZ,,,L16-201
OM,206,BL,68,27,7,94.5,,,ÅZ,,,L18-206
OM,206,BL,59,18,5,45,,,ÅZ,,,L17-206
OM,208,BL,211,56,20,560,,,ÅZ,,,K16-208
OM,224,BL,96,28,4,56,,,ÅZ,,,L15-224
OM,248,BL,85,29,10,145,,,ÅZ,,,L17-248
OM,250,BL,147,40,10,200,,,ÅZ,,,J18-250
OM,258,BL,82,33,9,148.5,,,ÅZ,,,L17-258
OM,268,BL,102,25,10,125,,,ÅZ,,,J17-268
OM,285,BL,93,31,18,279,,,ÅZ,,,L16-285
OM,287,BL,124,26,16,208,,,ÅZ,,,L15-287
OM,293,BL,120,31,10,155,,,ÅZ,,,L17-293
OM,293,BL,110,43,8,172,,,ÅZ,,,L16-293
OM,311,BL,176,55,15,412.5,,,ÅZ,,,K18-311
OM,311,BL,115,41,14,287,,,ÅZ,,,L16-311
OM,312,BL,139,32,12,192,,,ÅZ,,,K18-312
OM,313,BL,165,35,15,262.5,,,ÅZ,,,J17-313
OM,327,BL,169,43,14,301,,,ÅZ,,,K18-327
OM,335,BL,106,30,9,135,,,ÅZ,,,K18-335
OM,362,BL,71,24,8,96,,,ÅZ,,,J19-362
OM,366,BL,76,21,7,73.5,,,ÅZ,,,J17-366
OM,381,BL,65,26,8,104,,,ÅZ,,,J17-381
OM,390,BL,101,26,4,52,,,ÅZ,,,J18-390
OM,422,BL,117,34,13,221,,,ÅZ,,,K18-422
OM,431,BL,51,25,6,75,,,ÅZ,,,L17-431
OM,457,BL,114,36,9,162,,,ÅZ,,,L16-457
OM,483,BL,123,47,13,305.5,,,ÅZ,,,J18-483
OM,527,BL,106,32,21,336,,,ÅZ,,,L17-527
OM,539,BL,84,15,5,37.5,,,ÅZ,,,J19-539
OM,560,BL,108,33,15,247.5,,,ÅZ,,,K18-560
OM,594,BL,86,23,11,126.5,,,ÅZ,,,L17-594
OM,623,BL,119,39,13,253.5,,,ÅZ,,,J19-623
OM,667,BL,92,22,12,132,,,ÅZ,,,L17-667
OM,724,BL,65,24,6,72,,,ÅZ,,,L18-724
OM,727,BL,56.5,26,6,78,,,ÅZ,,,L18-727
TM,60,BL,35.7,16.8,6.7,56.28,,,,,,
TM,61,BL,45.8,18.1,4.9,44.345,,,,,,
TM,62,BL,52.7,26.9,4.5,60.525,,,,,,
TM,65,BL,76.5,31.3,8.3,129.895,,,ÅZ,,,c_131TMBL_65
TM,66,BL,77.3,20.8,7.4,76.96,,,ÅZ,,,c_132TMBL_66
TM,67,BL,81.6,26.9,6.8,91.46,,,ÅZ,,,c_133TMBL_67
TM,68,BL,86.1,26.2,10.4,136.24,U,,ÅZ,,,c_A134TMBL_68
TM,73,BL,41.8,12.9,3.1,19.995,,,,,,
TM,81,BL,51.2,27.8,9.4,130.66,,,,,,
TM,82,BL,71.6,22.2,12.2,135.42,,,ÅZ,,,c_135TMBL_82
TM,83,BL,69.5,13,16.6,107.9,,,,,,
TM,84,BL,99.1,26.8,7.9,105.86,U,,ÅZ,,,c_A136TMBL_84
TM,85,BL,85.9,35.6,9.2,163.76,U,,ÅZ,,,c_A137TMBL_85
TM,86,BL,117.4,39.3,11.4,224.01,U,,ÅZ,,,c_A138TMBL_86
TM,87,BL,146.2,37.5,17.2,322.5,,,ÅZ,,,c_139TMBL_87
TM,88,BL,127.1,36.7,20.2,370.67,,,,,,
TM,89,BL,109.9,38.7,16.3,315.405,U,,,,,
TM,95,BL,91.3,38.4,16.1,309.12,,,ÅZ,,,c_141TMBL_95
TM,94,BL,70.7,32,8.8,140.8,,,ÅZ,,,c_140TMBL_94
TM,1,KN,90.6,20.8,9.2,95.68,C,ÅZ,ÅZ,0.003312454,68270,f_157TMKN1
TM,2,KN,82.4,23.8,9.6,114.24,C,ÅZ,ÅZ,0.003514437,71913,f_158TMKN2
TM,3,KN,90.8,16.3,9.6,78.24,C,,ÅZ,,,f_159TMKN3
TM,4,KN,92.7,21,14.5,152.25,C,,ÅZ,,,f_160TMKN4
TM,5,KN,85,20.4,9.6,97.92,C,ÅZ,ÅZ,0.00267757,54835,f_161TMKN5
TM,6,KN,70.3,25.2,6.8,85.68,,,ÅZ,,,f_N162TMKN6
TM,7,KN,105.6,29.3,14.6,213.89,C,ÅZ,ÅZ,0.004959467,102658,f_163TMKN7
TM,9,KN,147.2,23.4,12.3,143.91,C,ÅZ,ÅZ,0.006360161,132290,f_165TMKN9
TM,10,KN,72,23.4,12.7,148.59,C,ÅZ,ÅZ,0.002684836,54248,f_166TMKN10
TM,11,KN,78,26.5,10.5,139.125,C,,ÅZ,,,f_167TMKN11
TM,12,KN,87.1,25.7,7,89.95,,ÅZ,ÅZ,0.002792197,51758,f_168TMKN12
TM,13,KN,111.2,32.3,12.3,198.645,C,,ÅZ,,,f_169TMKN13
TM,14,KN,93,27.7,6.4,88.64,C,ÅZ,ÅZ,0.003578342,69144,f_170TMKN14
TM,15,KN,89.5,35.8,12.4,221.96,C,ÅZ,ÅZ,0.004416651,84143,f_171TMKN15
TM,16,KN,99.5,35.5,12.6,223.65,C,ÅZ,ÅZ,0.005016379,104184,f_172TMKN16
TM,17,KN,124.5,34.3,11.4,195.51,C,ÅZ,ÅZ,0.006458022,138531,f_N176TMKN17
TM,30,KN,90.2,24.4,11.4,139.08,C,,ÅZ,,,f_174TMKN30
TM,31,KN,124.9,31.3,10.6,165.89,C,ÅZ,ÅZ,0.006261156,121643,f_175TMKN31
TM,41,ES,62,21.7,13.5,146.475,,,ÅZ,,,e_143TMeS-41-100
TM,42,ES,56.5,31.2,12.9,201.24,AB,,ÅZ,,,e_AB144TMeS-42-100
TM,43,ES,83.1,27.2,18.1,246.16,AB,,ÅZ,,,e_AB145TMeS-43-100
TM,44,ES,92.8,34.6,16.3,281.99,A,,ÅZ,,,e_A146TMeS-44-100
TM,45,ES,86.2,36.6,21.3,389.79,AB,,ÅZ,,,e_AB147TMeS-45-100
TM,46,ES,103,32.3,12.2,197.03,AB,,ÅZ,,,e_AB148TMeS-46-100
TM,47,ES,60.9,25.2,9.9,124.74,AB,,ÅZ,,,e_AB149TMeS-47-100
TM,48,ES,72,24.8,9,111.6,A,,ÅZ,,,e_A150TMeS-48-100
TM,49,ES,98.1,34,17.4,295.8,,,ÅZ,,,e_151TMeS-49-100
TM,50,ES,103.9,39.9,14.1,281.295,AB,,ÅZ,,,e_AB152TMeS-50-100
TM,51,ES,107.7,39,18.4,358.8,A,,ÅZ,,,e_A153TMeS-51-100
TM,52,ES,93.9,48.8,29.9,729.56,,,ÅZ,,,e_154TMeS-52-100
